FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan
225,3175091003,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,61,2,59,13,1,12,10,6,1,0,3,
226,3171041004,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,232,3,229,30,1,29,53,10,5,3,35,
227,3174021008,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,19,0,19,6,0,6,7,0,2,2,3,
228,3175081001,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,30,1,29,10,3,7,7,3,3,0,1,
229,3174081005,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,31,0,31,4,0,4,10,1,4,0,5,
230,3171071004,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,197,0,197,60,6,54,132,26,3,7,96,
231,3172041005,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,73,0,73,16,4,12,9,3,2,1,3,
232,3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,38,1,37,15,1,14,11,4,1,1,5,
233,3173041009,DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,27,0,27,15,3,12,13,4,1,0,8,
234,3173011003,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,61,0,61,9,0,9,13,4,4,1,4,
